
# Surface 0 of 2 surfaces

# Curve title: "f(x,y)"

# Contour 0, label:        0
-171.18 -66.1396  0 
-170.927 -66.0294  0 
-166.273 -64.0053  0 
-161.619 -61.9813  0 
-160.978 -61.7027  0 
-156.965 -59.9572  0 
-152.311 -57.9332  0 
-150.776 -57.2657  0 
-147.657 -55.9091  0 
-143.003 -53.8851  0 
-140.574 -52.8287  0 
-138.349 -51.861  0 
-133.695 -49.837  0 
-130.372 -48.3917  0 
-129.041 -47.813  0 
-124.388 -45.7889  0 
-120.17 -43.9548  0 
-119.734 -43.7649  0 
-115.08 -41.7408  0 
-110.426 -39.7168  0 
-109.968 -39.5178  0 
-105.772 -37.6927  0 
-101.118 -35.6687  0 
-99.7662 -35.0808  0 
-96.464 -33.6446  0 
-91.81 -31.6206  0 
-89.5642 -30.6438  0 
-87.1561 -29.5965  0 
-82.5022 -27.5725  0 
-79.3622 -26.2069  0 
-77.8483 -25.5484  0 
-73.1943 -23.5244  0 
-69.1602 -21.7699  0 
-68.5404 -21.5004  0 
-63.8865 -19.4763  0 
-59.2325 -17.4523  0 
-58.9582 -17.3329  0 
-54.5786 -15.4282  0 
-49.9247 -13.4042  0 
-48.7561 -12.896  0 
-45.2707 -11.3801  0 
-40.6168 -9.35608  0 
-38.5541 -8.45898  0 
-35.9629 -7.33203  0 
-31.309 -5.30798  0 
-28.3521 -4.02201  0 
-26.655 -3.28394  0 
-22.0011 -1.25989  0 
-18.1501  0.414962  0 
-17.3472  0.764154  0 
-12.6932  2.7882  0 
-8.03931  4.81225  0 
-7.94805  4.85193  0 
-3.38538  6.83629  0 
 1.26855  8.86034  0 
 2.25397  9.28891  0 
 5.92248  10.8844  0 
 10.5764  12.9084  0 
 12.456  13.7259  0 
 15.2303  14.9325  0 
 19.8843  16.9565  0 
 22.658  18.1629  0 
 24.5382  18.9806  0 
 29.1921  21.0046  0 
 32.86  22.5998  0 
 33.8461  23.0287  0 
 38.5  25.0527  0 
 43.0621  27.0368  0 
 43.1539  27.0768  0 
 47.8079  29.1008  0 
 52.4618  31.1248  0 
 53.2641  31.4738  0 
 57.1157  33.1489  0 
 61.7696  35.1729  0 
 63.4661  35.9107  0 
 66.4236  37.197  0 
 71.0775  39.221  0 
 73.6681  40.3477  0 
 75.7314  41.2451  0 
 80.3854  43.2691  0 
 83.8701  44.7847  0 
 85.0393  45.2932  0 
 89.6932  47.3172  0 
 94.0722  49.2217  0 
 94.3471  49.3413  0 
 99.0011  51.3653  0 
 103.655  53.3894  0 
 104.274  53.6586  0 
 108.309  55.4134  0 
 112.963  57.4374  0 
 114.476  58.0956  0 
 117.617  59.4615  0 
 122.271  61.4855  0 
 124.678  62.5326  0 
 126.925  63.5096  0 
 131.579  65.5336  0 
 134.88  66.9696  0 
 136.233  67.5577  0 

# Contour 3, label: 
-487.443 -203.686  0 
-487.394 -203.665  0 
-482.74 -201.64  0 
-478.086 -199.616  0 
-477.241 -199.249  0 
-473.432 -197.592  0 
-468.778 -195.568  0 
-467.039 -194.812  0 
-464.124 -193.544  0 
-459.47 -191.52  0 
-456.837 -190.375  0 
-454.817 -189.496  0 
-450.163 -187.472  0 
-446.635 -185.938  0 
-445.509 -185.448  0 
-440.855 -183.424  0 
-436.433 -181.501  0 
-436.201 -181.4  0 
-431.547 -179.376  0 
-426.893 -177.352  0 
-426.231 -177.064  0 
-422.239 -175.328  0 
-417.585 -173.304  0 
-416.029 -172.627  0 
-412.931 -171.28  0 
-408.277 -169.256  0 
-405.827 -168.19  0 
-403.623 -167.232  0 
-398.969 -165.208  0 
-395.625 -163.753  0 
-394.315 -163.184  0 
-389.662 -161.16  0 
-385.423 -159.316  0 
-385.008 -159.135  0 
-380.354 -157.111  0 
-375.7 -155.087  0 
-375.221 -154.879  0 
-371.046 -153.063  0 
-366.392 -151.039  0 
-365.019 -150.442  0 
-361.738 -149.015  0 
-357.084 -146.991  0 
-354.817 -146.005  0 
-352.43 -144.967  0 
-347.776 -142.943  0 
-344.615 -141.568  0 
-343.122 -140.919  0 
-338.468 -138.895  0 
-334.413 -137.131  0 
-333.814 -136.871  0 
-329.16 -134.847  0 
-324.507 -132.823  0 
-324.211 -132.694  0 
-319.853 -130.799  0 
-315.199 -128.775  0 
-314.009 -128.257  0 
-310.545 -126.751  0 
-305.891 -124.727  0 
-303.807 -123.82  0 
-301.237 -122.703  0 
-296.583 -120.679  0 
-293.605 -119.383  0 
-291.929 -118.655  0 
-287.275 -116.631  0 
-283.403 -114.946  0 
-282.621 -114.606  0 
-277.967 -112.582  0 
-273.313 -110.558  0 
-273.201 -110.509  0 
-268.659 -108.534  0 
-264.005 -106.51  0 
-262.999 -106.072  0 
-259.352 -104.486  0 
-254.698 -102.462  0 
-252.797 -101.635  0 
-250.044 -100.438  0 
-245.39 -98.4141  0 
-242.595 -97.1984  0 
-240.736 -96.3901  0 
-236.082 -94.366  0 
-232.392 -92.7615  0 
-231.428 -92.342  0 
-226.774 -90.3179  0 
-222.19 -88.3245  0 
-222.12 -88.2939  0 
-217.466 -86.2698  0 
-212.812 -84.2458  0 
-211.988 -83.8875  0 
-208.158 -82.2217  0 
-203.504 -80.1977  0 
-201.786 -79.4505  0 
-198.85 -78.1736  0 
-194.196 -76.1496  0 
-191.584 -75.0136  0 
-189.543 -74.1256  0 
-184.889 -72.1015  0 
-181.382 -70.5766  0 
-180.235 -70.0775  0 
-175.581 -68.0534  0 


# Surface 1 of 2 surfaces

# Curve title: "f2(x,y)"

# Contour 0, label:        0
-436.433  20.2592  0 
-446.635  20.3562  0 
-456.837  20.4531  0 
-467.039  20.5501  0 
-477.241  20.647  0 
-487.443  20.744  0 

# Contour 1, label: 
 522.557  11.1451  0 
 512.355  11.242  0 
 502.153  11.339  0 
 491.951  11.4359  0 
 481.749  11.5329  0 
 471.547  11.6299  0 
 461.345  11.7268  0 
 451.143  11.8238  0 
 440.941  11.9207  0 
 430.739  12.0177  0 
 420.537  12.1146  0 
 410.335  12.2116  0 
 400.133  12.3086  0 
 389.931  12.4055  0 
 379.729  12.5025  0 
 369.527  12.5994  0 
 359.325  12.6964  0 
 349.123  12.7934  0 
 338.921  12.8903  0 
 337.015  12.9084  0 
 328.719  12.9873  0 
 318.517  13.0842  0 
 308.315  13.1812  0 
 298.113  13.2782  0 
 287.911  13.3751  0 
 277.709  13.4721  0 
 267.506  13.569  0 
 257.304  13.666  0 
 247.102  13.7629  0 
 236.9  13.8599  0 
 226.698  13.9569  0 
 216.496  14.0538  0 
 206.294  14.1508  0 
 196.092  14.2477  0 
 185.89  14.3447  0 
 175.688  14.4417  0 
 165.486  14.5386  0 
 155.284  14.6356  0 
 145.082  14.7325  0 
 134.88  14.8295  0 
 124.678  14.9265  0 
 124.045  14.9325  0 
 114.476  15.0234  0 
 104.274  15.1204  0 
 94.0722  15.2173  0 
 83.8701  15.3143  0 
 73.6681  15.4113  0 
 63.4661  15.5082  0 
 53.2641  15.6052  0 
 43.0621  15.7021  0 
 32.86  15.7991  0 
 22.658  15.896  0 
 12.456  15.993  0 
 2.25397  16.09  0 
-7.94805  16.1869  0 
-18.1501  16.2839  0 
-28.3521  16.3808  0 
-38.5541  16.4778  0 
-48.7561  16.5748  0 
-58.9582  16.6717  0 
-69.1602  16.7687  0 
-79.3622  16.8656  0 
-88.9254  16.9565  0 
-89.5642  16.9626  0 
-99.7662  17.0596  0 
-109.968  17.1565  0 
-120.17  17.2535  0 
-130.372  17.3504  0 
-140.574  17.4474  0 
-150.776  17.5443  0 
-160.978  17.6413  0 
-171.18  17.7383  0 
-181.382  17.8352  0 
-191.584  17.9322  0 
-201.786  18.0291  0 
-211.988  18.1261  0 
-222.19  18.2231  0 
-232.392  18.32  0 
-242.595  18.417  0 
-252.797  18.5139  0 
-262.999  18.6109  0 
-273.201  18.7079  0 
-283.403  18.8048  0 
-293.605  18.9018  0 
-301.895  18.9806  0 
-303.807  18.9987  0 
-314.009  19.0957  0 
-324.211  19.1927  0 
-334.413  19.2896  0 
-344.615  19.3866  0 
-354.817  19.4835  0 
-365.019  19.5805  0 
-375.221  19.6774  0 
-385.423  19.7744  0 
-395.625  19.8714  0 
-405.827  19.9683  0 
-416.029  20.0653  0 
-426.231  20.1622  0 
-436.433  20.2592  0 

